"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-30","   90","   70",,," 1812","0.07","0.7","2.0",,"11","-1",,"   50",,,"  315","0.4","13.0",,,"15.0",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-31","   10","   20",,," 1224","0.00","0.0","3.0",,"10","-10",,"  310",,,"  315","0.3","13.0",,,"17.2","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-01","   40","   30",,," 1236","0.00","0.0","3.0",,"13","-10",,"  200",,,"  180","0.3","12.1",,,"15.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-02","   50","    0",,," 1918","0.00","0.0","3.0",,"19","-1",,"  120",,,"   90","0.3","14.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-03","   20","   20",,," 1512","0.00","0.0","3.0",,"20","-1",,"   70",,,"   90","0.3","12.1",,,"18.3","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-04","   70","  100",,," 1030","0.03","0.5","3.0",,"22","-2",,"  170",,,"  180","0.3","25.1",,,"32.2",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-05","  100","  100",,," 0030","0.08","2.3","4.0",,"24","17",,"  140",,,"  135","0.5","23.0",,,"30.0",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-06","   20","   20",,," 0000","0.00","0.0","6.0",,"25","2",,"   30",,,"   45","0.6","14.1",,,"17.2","    1","    1",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-07","   50","   40",,," 1124","0.00","0.0","5.0",,"18","-9",,"  310",,,"  315","0.6","8.1",,,"11.4","    1","    1",,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-08","   60","   70",,," 1448","0.00","0.0","5.0",,"24","2",,"  300",,,"  315","0.6","8.9",,,"11.4","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-09","   40","   20",,," 2224","0.00","0.1","5.0",,"19","-7",,"  220",,,"  225","0.6","23.9",,,"31.1","    1","    1",,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-10","   50","   30",,," 1754","0.02","0.3","5.0",,"22","7",,"  280",,,"  270","0.6","23.0",,,"35.6","    1",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-11","   20","   30",,," 1706","0.00","0.0","5.0",,"19","3",,"  310",,,"  315","0.6","21.0",,,"26.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-12","   60","   70",,," 2036","0.00","0.0","5.0",,"19","-4",,"  180",,,"  225","0.6","21.0",,,"28.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-13","   90","  100",,," 0236","0.00","0.1","5.0",,"28","14",,"  190",,,"  180","0.6","21.0",,,"26.4",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-14","   90","  100",,," 1818","0.00","0.0","5.0",,"26","7",,"   30",,,"  360","0.6","12.1",,,"16.1",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-15","   70","   80",,," 1724","0.00","0.0","5.0",,"19","1",,"  320",,,"  315","0.5","21.0",,,"26.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-16","   10","   10",,," 1230","0.00","0.0","4.0",,"11","-6",,"  310",,,"  315","0.5","19.9",,,"27.5",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-17","   20","    0",,," 2342","0.00","0.0","4.0",,"21","-5",,"  200",,,"  180","0.5","21.0",,,"25.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-18","   90","  100",,," 1142","0.00","0.0","4.0",,"32","13",,"  190",,,"  180","0.5","32.0",,,"42.5","    1",,,,,"    1",,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-19","  100","  100",,," 1318","0.02","0.0","4.0",,"35","30",,"  180",,,"  180","0.5","17.9",,,"23.0","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-20","  100","  100",,," 2342","0.00","0.0","3.0",,"34","33",,"  100",,,"   90","0.4","14.1",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-21","  100","  100",,," 1736","0.16","0.4","3.0",,"36","33",,"   60",,,"   45","0.3","21.0",,,"26.4","    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-22","  100","  100",,," 2336","0.05","0.6","3.0",,"35","28",,"  310",,,"  315","0.5","19.9",,,"27.5","    1","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-23","   80","   50",,," 2000","0.00","0.0","3.0",,"29","19",,"  290",,,"  270","0.5","23.0",,,"32.2",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-24","   70","   50",,," 0230","0.02","0.2","3.0",,"28","18",,"  300",,,"  315","0.5","23.9",,,"34.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-25","   40","   20",,," 0824","0.01","0.2","3.0",,"20","0",,"  350",,,"  360","0.5","27.1",,,"35.6",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-26","   40","   80",,," 1236","0.00","0.0","3.0",,"32","-1",,"  310",,,"  225","0.5","33.1",,,"42.5",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-27","   90","   90",,," 0112","0.13","1.6","3.0",,"24","12",,"  330",,,"  315","0.5","21.9",,,"36.7",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-28","   20","    0",,," 1524","0.00","0.0","5.0",,"19","1",,"  340",,,"  360","0.7","23.0",,,"30.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-02-29","   50","   80",,," 1518","0.00","0.0","5.0",,"10","-6",,"   40",,,"   45","0.7","21.9",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-01","    0","    0",,," 1318","0.00","0.0","5.0",,"16","-9",,"  340",,,"  360","0.7","17.9",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-02","   50","   70",,," 1336","0.00","0.0","5.0",,"26","-3",,"  200",,,"  180","0.7","31.1",,,"40.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-03","   60","   70",,," 0906","0.00","0.0","5.0",,"35","15",,"  190",,,"  180","0.7","23.9",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-04","   90","  100",,," 1742","0.11","1.4","4.0",,"29","10",,"  350",,,"  360","0.7","23.9",,,"31.1",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-05","   10","   10",,," 1436","0.00","0.0","5.0",,"17","-2",,"  280",,,"  270","0.9","25.1",,,"31.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-06","   80","  100",,," 1024","0.13","3.8","4.0",,"21","1",,"  190",,,"  180","1.0","23.9",,,"32.2","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-07","   60","   80",,," 1200","0.00","0.0","6.0",,"28","-3",,"  130",,,"  135","1.2","13.0",,,"15.0","    1","    1",,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-08","   30","   40",,," 1154","0.00","0.0","6.0",,"29","3",,"  280",,,"  315","1.2","15.0",,,"18.3","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-09","   70","   90",,," 1612","0.15","3.3","5.0",,"38","11",,"  170",,,"  270","1.4","23.9",,,"30.0",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-10","   50","   40",,," 0554","0.00","0.0","6.0",,"35","7",,"  320",,,"  315","1.8","38.9",,,"55.3",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-11","   40","   40",,," 0000","0.00","0.0","6.0",,"22","-4",,"  320",,,"  315","1.8","16.1",,,"20.8",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-12","  100","  100",,," 1254","0.02","0.3","5.0",,"33","19",,"  140",,,"  135","1.8","29.1",,,"39.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-13","   80","  100",,," 1524","0.21","2.8","7.0",,"29","15",,"  330",,,"  315","2.0","23.0",,,"27.5",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-14","   20","   20",,," 1148","0.00","0.0","7.0",,"35","8",,"  140",,,"  135","1.9","17.0",,,"18.3","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-15","   70","   90",,," 0848","0.00","0.0","6.0",,"42","24",,"  140",,,"  135","1.8","25.1",,,"34.4",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-16","  100","  100",,," 2242","0.05","0.0","2.0",,"42","28",,"  320",,,"  315","1.1","30.0",,,"39.1","    1",,,"    1",,,,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-17","   40","   30",,," 0312","0.00","0.0","2.0",,"31","21",,"  320",,,"  315","0.7","30.0",,,"38.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-18","   60","   60",,," 2324","0.00","0.0","1.0",,"50","26",,"  180",,,"  180",,"25.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-19","   70","   70",,," 0306","0.00","0.0","0.0",,"55","37",,"  200",,,"  180",,"29.1",,,"40.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-20","   70","   80",,," 1512","0.00","0.0","0.0",,"45","32",,"  320",,,"  315",,"21.0",,,"30.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-21","   30","   20",,," 1306","0.00","0.0","0.0",,"36","24",,"  310",,,"  315",,"27.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-22","  100","  100",,," 1524","0.02","0.3","0.0",,"29","24",,"   80",,,"   90",,"16.1",,,"21.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-23","  100","  100",,," 1606","0.01","0.1","0.0",,"33","28",,"   20",,,"  360",,"21.0",,,"27.5","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-24","   70","   80",,," 1000","0.00","0.0","0.0",,"38","22",,"   10",,,"   45",,"21.9",,,"33.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-25","   60","   80",,," 1506","0.00","0.0","0.0",,"43","19",,"   60",,,"   45",,"15.0",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-26","   90","   80",,," 1048","0.00","0.0","0.0",,"43","27",,"  150",,,"  135",,"21.9",,,"33.3","    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-27","  100","  100",,," 0406","0.04","0.6","1.0",,"41","32",,"  190",,,"  180",,"21.0",,,"30.0","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-28","  100","  100",,," 0954","0.08","0.2","0.0",,"38","31",,"   70",,,"   90",,"19.9",,,"32.2","    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-29","   80","   80",,," 1206","0.00","0.0","0.0",,"49","32",,"   50",,,"   45",,"21.0",,,"27.5","    1",,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-30","  100","  100",,," 1136","0.00","0.0","0.0",,"49","30",,"   90",,,"   90",,"27.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-03-31","   70","   70",,," 1300","0.00","0.0","0.0",,"55","28",,"   30",,,"   45",,"16.1",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-01","   90","  100",,," 1500","0.00","0.0","0.0",,"50","32",,"   70",,,"   90",,"19.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-02","   50","   40",,," 1306","0.00","0.0","0.0",,"58","28",,"   70",,,"   90",,"19.9",,,"25.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-03","  100","  100",,," 0542","0.46","6.7","0.0",,"42","32",,"   20",,,"   90","0.5","25.1",,,"40.3","    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-04","   10","    0",,," 0024","0.00","0.0","5.0",,"40","27",,"  330",,,"  360","0.4","17.9",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-05","   50","   40",,," 1330","0.00","0.0","1.0",,"58","33",,"  250",,,"  225",,"16.1",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-06","   80","   90",,," 1342","0.09","0.0","0.0",,"59","40",,"  180",,,"  180",,"30.0",,,"43.6",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-07","   90","   90",,," 1312","0.06","0.0","0.0",,"58","46",,"  210",,,"  225",,"23.0",,,"34.4","    1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-08","  100","  100",,," 1806","0.36","2.0","0.0",,"46","31",,"  350",,,"  360",,"30.0",,,"43.6","    1","    1",,,,"    1",,"    1",,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-09","  100","  100",,," 0542","0.20","2.2","3.0",,"32","29",,"  330",,,"  315","0.5","31.1",,,"41.4","    1",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-10","  100","  100",,," 1506","0.00","0.0","4.0",,"34","28",,"  300",,,"  315","0.3","21.9",,,"25.3",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-11","   70","   80",,," 2118","0.00","0.0","2.0",,"43","26",,"  320",,,"  315",,"16.1",,,"21.9","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-12","   50","   50",,," 1154","0.00","0.0","1.0",,"45","29",,"  320",,,"  315",,"23.9",,,"35.6",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-13","   70","   90",,," 0936","0.00","0.0","0.0",,"36","25",,"  360",,,"  360",,"21.0",,,"28.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-14","   70","   90",,," 1718","0.00","0.0","0.0",,"48","27",,"  350",,,"  360",,"23.0",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-15","   30","   30",,," 1224","0.00","0.0","0.0",,"56","33",,"  350",,,"  360",,"29.1",,,"35.6",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-16","   80","   90",,," 1212","0.00","0.0","0.0",,"60","31",,"  170",,,"  135",,"16.1",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-17","   60","   50",,," 1100","0.00","0.0","0.0",,"68","42",,"  170",,,"  225",,"16.1",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-18","   20","   40",,," 1448","0.00","0.0","0.0",,"72","44",,"  250",,,"  225",,"21.0",,,"27.5",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-19","   50","   60",,," 1000","0.00","0.0","0.0",,"75","44",,"  190",,,"  180",,"28.0",,,"38.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-04-20","   60","   70",,," 2348","0.00","0.0","0.0",,"82","43",,"  170",,,"  180",,"17.0",,,"19.5",,,,,,,,,,,,,,,,,,,,,
